DocID     RunID       Language Metatype GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V9U9 example-run ENG      Relation cluster-NILR20090 cluster-NILR20090 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20091 cluster-NILR20091 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20310 cluster-NILV20310 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20311 cluster-NILV20311 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20312 cluster-NILV20312 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20313 cluster-NILV20313 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20314 cluster-NILV20314 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20315 cluster-NILV20315 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20316 cluster-NILV20316 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20317 cluster-NILV20317 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Event    cluster-NILV20318 cluster-NILV20318 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Relation cluster-NILR20310 cluster-NILR20310 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Relation cluster-NILR20311 cluster-NILR20311 1.0000 1.0000 1.0000
IC001VAPK example-run ENG      Relation cluster-NILR20312 cluster-NILR20312 1.0000 1.0000 1.0000
