DocID     RunID       GoldClusterID     SystemClusterID     Prec Recall     F1
IC001VFH8 example-run cluster-NILE21436 cluster-NILE21436 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILE21437 cluster-NILE21437 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILE21438 cluster-NILE21438 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILE21439 cluster-NILE21439 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILE21440 cluster-NILE21440 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILV21435 cluster-NILV21435 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILV21436 cluster-NILV21436 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20375 cluster-NILE20375 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20376 cluster-NILE20376 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20377 cluster-NILE20377 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20378 cluster-NILE20378 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20379 cluster-NILE20379 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20380 cluster-NILE20380 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20381 cluster-NILE20381 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20382 cluster-NILE20382 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20383 cluster-NILE20383 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20384 cluster-NILE20384 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20385 cluster-NILE20385 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20386 cluster-NILE20386 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20387 cluster-NILE20387 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20388 cluster-NILE20388 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20389 cluster-NILE20389 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20390 cluster-NILE20390 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20391 cluster-NILE20391 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20392 cluster-NILE20392 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20393 cluster-NILE20393 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20394 cluster-NILE20394 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20395 cluster-NILE20395 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20396 cluster-NILE20396 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20397 cluster-NILE20397 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20398 cluster-NILE20398 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20399 cluster-NILE20399 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20400 cluster-NILE20400 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20401 cluster-NILE20401 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20402 cluster-NILE20402 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20403 cluster-NILE20403 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20404 cluster-NILE20404 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20405 cluster-NILE20405 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20406 cluster-NILE20406 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20407 cluster-NILE20407 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20408 cluster-NILE20408 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20409 cluster-NILE20409 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20410 cluster-NILE20410 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20411 cluster-NILE20411 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20412 cluster-NILE20412 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20413 cluster-NILE20413 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20414 cluster-NILE20414 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20415 cluster-NILE20415 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20416 cluster-NILE20416 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20417 cluster-NILE20417 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILE20418 cluster-NILE20418 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20375 cluster-NILR20375 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20376 cluster-NILR20376 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20377 cluster-NILR20377 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20379 cluster-NILR20379 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20380 cluster-NILR20380 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20381 cluster-NILR20381 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20382 cluster-NILR20382 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20383 cluster-NILR20383 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20384 cluster-NILR20384 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20385 cluster-NILR20385 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20386 cluster-NILR20386 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20387 cluster-NILR20387 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20388 cluster-NILR20388 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20389 cluster-NILR20389 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20391 cluster-NILR20391 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20392 cluster-NILR20392 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20393 cluster-NILR20393 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20387 cluster-NILV20387 1.0000 1.0000 1.0000
