slot_type_code	slot_type
evt073arg03candidate	Government.Vote.ViolationsPreventVote_Candidate
evt074arg03place	Inspection.SensoryObserve_Place
evt075arg03place	Inspection.SensoryObserve.InspectPeopleOrganization_Place
evt076arg03place	Inspection.SensoryObserve.MonitorElection_Place
evt077arg03place	Inspection.SensoryObserve.PhysicalInvestigateInspect_Place
evt079arg03crime	Justice.ArrestJailDetain.ArrestJailDetain_Crime
evt080arg03judgecourt	Justice.InitiateJudicialProcess_JudgeCourt
evt081arg03judgecourt	Justice.InitiateJudicialProcess.ChargeIndict_JudgeCourt
evt082arg03judgecourt	Justice.InitiateJudicialProcess.TrialHearing_JudgeCourt
evt083arg03place	Justice.Investigate_Place
evt084arg03crime	Justice.Investigate.InvestigateCrime_Crime
evt085arg03crime	Justice.JudicialConsequences_Crime
evt086arg03crime	Justice.JudicialConsequences.Convict_Crime
evt087arg03crime	Justice.JudicialConsequences.Execute_Crime
evt088arg03crime	Justice.JudicialConsequences.Extradite_Crime
evt090arg03instrument	Life.Die.DeathCausedByViolentEvents_Instrument
evt092arg03place	Life.Injure_Place
evt095arg03instrument	Life.Injure.InjuryCausedByViolentEvents_Instrument
evt096arg03instrument	Manufacture.Artifact_Instrument
evt097arg03instrument	Manufacture.Artifact.Build_Instrument
evt098arg03instrument	Manufacture.Artifact.CreateIntellectualProperty_Instrument
evt099arg03instrument	Manufacture.Artifact.CreateManufacture_Instrument
evt100arg03vehicle	Movement.TransportArtifact_Vehicle
evt101arg03vehicle	Movement.TransportArtifact.BringCarryUnload_Vehicle
evt102arg03vehicle	Movement.TransportArtifact.DisperseSeparate_Vehicle
evt103arg03destination	Movement.TransportArtifact.Fall_Destination
evt104arg03origin	Movement.TransportArtifact.GrantEntry_Origin
evt105arg03hidingplace	Movement.TransportArtifact.Hide_HidingPlace
evt106arg03vehicle	Movement.TransportArtifact.NonviolentThrowLaunch_Vehicle
evt107arg03artifact	Movement.TransportArtifact.PreventEntry_Artifact
evt108arg03artifact	Movement.TransportArtifact.PreventExit_Artifact
evt109arg03vehicle	Movement.TransportArtifact.ReceiveImport_Vehicle
evt110arg03vehicle	Movement.TransportArtifact.SendSupplyExport_Vehicle
evt111arg03vehicle	Movement.TransportArtifact.SmuggleExtract_Vehicle
evt112arg03vehicle	Movement.TransportPerson_Vehicle
evt113arg03vehicle	Movement.TransportPerson.BringCarryUnload_Vehicle
evt114arg03vehicle	Movement.TransportPerson.DisperseSeparate_Vehicle
evt115arg03vehicle	Movement.TransportPerson.EvacuationRescue_Vehicle
evt116arg03destination	Movement.TransportPerson.Fall_Destination
evt117arg03passenger	Movement.TransportPerson.GrantEntryAsylum_Passenger
evt118arg03hidingplace	Movement.TransportPerson.Hide_HidingPlace
evt119arg03passenger	Movement.TransportPerson.PreventEntry_Passenger
evt120arg03passenger	Movement.TransportPerson.PreventExit_Passenger
evt121arg03origin	Movement.TransportPerson.SelfMotion_Origin
evt122arg03vehicle	Movement.TransportPerson.SmuggleExtract_Vehicle
evt123arg03place	Personnel.Elect_Place
evt124arg03place	Personnel.Elect.WinElection_Place
evt125arg03place	Personnel.EndPosition_Place
evt126arg03place	Personnel.EndPosition.FiringLayoff_Place
evt127arg03place	Personnel.EndPosition.QuitRetire_Place
evt128arg03place	Personnel.StartPosition_Place
evt129arg03place	Personnel.StartPosition.Hiring_Place
evt130arg03beneficiary	Transaction.Transaction_Beneficiary
evt131arg03recipient	Transaction.Transaction.EmbargoSanction_Recipient
evt132arg03beneficiary	Transaction.Transaction.GiftGrantProvideAid_Beneficiary
evt133arg03beneficiary	Transaction.TransferMoney_Beneficiary
evt134arg03beneficiary	Transaction.TransferMoney.BorrowLend_Beneficiary
evt135arg03recipient	Transaction.TransferMoney.EmbargoSanction_Recipient
evt136arg03beneficiary	Transaction.TransferMoney.GiftGrantProvideAid_Beneficiary
evt137arg03beneficiary	Transaction.TransferMoney.PayForService_Beneficiary
evt138arg03beneficiary	Transaction.TransferMoney.Purchase_Beneficiary
evt139arg03beneficiary	Transaction.TransferOwnership_Beneficiary
