DocID     RunID             Language Metatype GoldClusterID      SystemClusterID   TypeSimilarity
L0C0499MZ example-task1-run SPA      Entity   cluster-Q30        cluster-Q30               1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q318508    cluster-Q318508           1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q355       cluster-NILE30060         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q408       cluster-Q408              1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q5440529   cluster-Q5440529          1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q611833    cluster-Q611833           1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q7817      cluster-Q7817             1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q87809262  cluster-Q87809262         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q96        cluster-Q96               1.0000
L0C0499MZ example-task1-run SPA      Event    None               cluster-NILV30040         0.0000
L0C0499MZ example-task1-run SPA      Event    None               cluster-NILV30046         0.0000
L0C0499MZ example-task1-run SPA      Event    None               cluster-NILV30053         0.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31119 cluster-NILV30036         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31120 cluster-NILV30037         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31121 cluster-NILV30038         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31122 cluster-NILV30039         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31123 cluster-NILV30042         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31124 cluster-NILV30043         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31125 cluster-NILV30044         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31126 None                      0.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31127 cluster-NILV30047         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31128 cluster-NILV30048         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31129 cluster-NILV30049         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31130 cluster-NILV30050         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31131 cluster-NILV30051         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31132 cluster-NILV30052         1.0000
